book_freq,isNoble,popularity,has_title,has_culture,has_mother,has_father,has_heir,has_house,survival_prob,relevance_score,relevance_category
0.2,0,0.040133779,0,0,0,0,0,0,0.727,0.16908344475,Low
0.4,1,0.010033445,1,0,0,0,0,0,0.989,0.45085836125,Medium
0.2,0,0.003344482,0,1,0,0,0,1,0.996,0.3002361205,Medium
0.4,0,0.030100334,0,1,0,0,0,1,0.478,0.27922508349999997,Medium
0.4,0,0.023411371,0,0,0,0,0,1,0.979,0.30270284275,Medium
0.2,0,0.030100334,0,0,0,0,0,0,0.819,0.18037508349999998,Low
0.2,0,0.060200669,0,1,0,0,0,0,0.783,0.23250016725,Low
0.2,0,0.0,0,0,0,0,0,1,0.603,0.19045,Low
0.0,1,0.244147157,1,0,0,0,0,0,0.14100000000000001,0.28218678925,Medium
0.2,1,0.006688963,1,0,0,0,0,1,0.971,0.44732224075,Medium
0.2,0,0.010033445,0,1,0,0,0,1,0.999,0.30235836125,Medium
0.2,0,0.0,0,0,0,0,0,1,0.813,0.22194999999999998,Low
0.2,1,0.013377926,1,0,0,0,0,0,0.997,0.40289448149999996,Medium
0.6,0,0.026755853,0,1,0,0,0,0,0.989,0.35503896325,Medium
0.2,0,0.013377926,0,0,0,0,0,1,0.746,0.21524448150000003,Low
0.0,0,0.0,0,1,0,0,0,1,0.879,0.23185,Low
0.0,0,0.013377926,0,1,0,0,0,0,0.796,0.1727444815,Low
0.2,0,0.003344482,0,0,0,0,0,0,0.74,0.1618361205,Low
0.0,0,0.046822742,0,0,0,0,0,1,0.21199999999999997,0.09350568549999999,Low
0.2,0,0.030100334,0,1,0,0,0,1,0.15100000000000002,0.1801750835,Low
0.2,0,0.013377926,0,0,0,0,0,1,0.718,0.2110444815,Low
0.0,0,0.003344482,0,0,0,0,0,1,0.76,0.1648361205,Low
0.4,1,0.013377926,1,0,0,0,0,1,0.978,0.5000444815,High
0.2,0,0.053511706,0,1,0,0,0,1,0.877,0.2949279265,Medium
0.2,0,0.006688963,0,0,0,0,0,0,0.773,0.16762224074999998,Low
0.2,0,0.010033445,0,0,0,0,0,1,0.702,0.20780836125000002,Low
0.2,0,0.0,0,0,0,0,0,0,0.746,0.1619,Low
0.0,0,0.030100334,1,0,0,0,0,1,0.03500000000000003,0.16277508350000003,Low
0.2,0,0.016722408,0,1,0,0,0,0,0.671,0.20483060200000003,Low
0.4,0,0.036789298,0,0,0,0,0,0,0.81,0.2306973245,Low
0.2,0,0.003344482,0,0,0,0,0,0,0.737,0.1613861205,Low
0.2,1,0.003344482,1,0,0,0,0,0,0.766,0.36573612050000004,Medium
0.2,0,0.013377926,0,1,0,0,0,1,0.976,0.2997444815,Medium
0.4,0,0.02006689,0,1,0,0,0,1,0.988,0.35321672249999997,Medium
0.2,0,0.003344482,0,1,0,0,0,1,0.998,0.3005361205,Medium
0.4,0,0.023411371,0,1,0,0,0,1,0.19299999999999995,0.23480284274999996,Low
0.0,1,0.003344482,1,0,0,0,0,1,0.6779999999999999,0.3525361205,Medium
0.2,0,0.0,0,0,0,0,0,0,0.746,0.1619,Low
0.2,0,0.033444816,0,0,0,0,0,1,0.613,0.20031120399999996,Low
0.2,0,0.006688963,0,1,0,0,0,1,0.817,0.27422224074999996,Medium
0.6,0,0.023411371,0,1,0,0,0,0,0.968,0.35105284275,Medium
0.2,0,0.016722408,0,1,0,0,0,0,0.998,0.253880602,Medium
